,track_name,track_artist
704,Prove It,Slumm Prince
705,Vent,Slumm Prince
706,Energy,Slumm Prince
707,All Night,Slumm Prince
708,Mobbing,Slumm Prince
709,How I'm Living,Slumm Prince
710,To Turnt,Slumm Prince
711,Baby I'm Scared of You,Womack & Womack
712,Our Time,Leon Ware
713,What About Me,CHIC
714,Delightful,Narada Michael Walden
715,Easier to Love,Sister Sledge
716,Madamoiselle,Foxy
717,I'm About Loving You,Al Hudson
718,Inner City Blues (Make Me Wanna Holler),The Impressions
719,Street Tough,Ben E. King
720,Night Rider,Womack & Womack
721,Do You Really Want an Answer?,Zapp
722,I'm In Love (And I Love the Feeling),Rose Royce
723,Don't Turn the Lights Off,Margie Joseph
724,Papillon (Hot Butterfly),Chaka Khan
725,You Bring Out the Best In Me,The Natural Four
